Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=2404dea3c623c663,L'Atelier | Senior Digital Media Manager,Mindshare 서울,,Grow team’s strategic capabilities and develop sound long term strategic plans for all the key brands. What you will need...
https://kr.indeed.com/viewjob?jk=7fae74ec5b74f9e7,"Partner Account Manager, Korea - Games",Unity Technologies 서울,,"responsible for building, maintaining, and managing long- term relationships with Unity's current and prospective channel..."
https://kr.indeed.com/viewjob?jk=2c54d2725bac6eb7,Senior Clinical Team Lead,Covance 서울,,"Covance Project Manager, you can expect to: Build a long- term career path as you join a PM team where more than 50% have..."
https://kr.indeed.com/viewjob?jk=e4acc7c8df45a38a,INTERN - PUBLIC INFORMATION [Temporary],United Nations 인천,,"short, medium and long term as well... commission of any... acts. The term “sexual exploitation” means any actual..."
https://kr.indeed.com/viewjob?jk=a550271f7496c9be,Senior Client Lead,dunnhumby 서울,,edge techniques on projects... have both short and long- term impact. You'll work within a fast-paced client leadership...
https://kr.indeed.com/viewjob?jk=208f95a9c75f3788,Business Development Director - MediaMon...,MediaMonks 서울,,"targets, you help to grow business accounts... long- term success for all parties. • Lastly... role would require you..."
https://kr.indeed.com/viewjob?jk=880defdef436a99e,Customer Success Specialist (CSS) - Cros...,Cisco Systems 4.1 서울,,"tactical and strategic deployment decisions and track long term business outcomes Collaborate with Account teams, Customer..."
https://kr.indeed.com/viewjob?jk=716c453c7acae35a,Sales Planning Manager,Success Korea 대한민국,,status. 2)Annual Sales Planning & Budget Planning based on Mid- term plan and market status. 3)New Business project planning...
https://kr.indeed.com/viewjob?jk=85b82f0c52a69012,INTERN - ECONOMIC AFFAIRS [Temporary],United Nations 인천,,commission of any... acts. The term “sexual exploitation” means any actual... conditions. The term “sexual harassment...
https://kr.indeed.com/viewjob?jk=8b364abc6923453e,Sales Director for EMI Shield,Success Korea 경기도 수원,,"term relation at various levels and disciplines, in order to maximize the value (top- and bottom-line) of short & long term..."
https://kr.indeed.com/viewjob?jk=be1f2f120b08cef7,Finance controller(ASAP),Success Korea 서울 가산동,,balance sheet through daily review and clean-up of long term open items ? Establish and maintain effective internal controls...
https://kr.indeed.com/viewjob?jk=75d0780f77583e7f,Sales Expert - Client Exec. (Samsung),Dassault Systèmes 4.1 서울,,"get customer commitment on a long- term business transformation. Be aligned... short, mid, long term account strategy..."
https://kr.indeed.com/viewjob?jk=397b3c2747313c18,Manager Customer Quality (m/f) South Kor...,Morgan Philips Executive Search 인천 송도동,,"degree in Science, Engineering or Pharmacy or a long- term professional experience in related fields - multiple years..."
https://kr.indeed.com/viewjob?jk=f2840e317599db6e,License Compliance Sales Executive - Kor...,Autodesk 4.1 서울,,channel BUDGET Strategically monitor and review long term goals... program and ensure campaigns are executed within...
https://kr.indeed.com/viewjob?jk=707a6b29da0334b7,Brand Manager,Takeda Pharmaceuticals 서울,,Develop new product ideas and concepts in line with mid- term business strategy. *Strategic Sales planning Define business...
https://kr.indeed.com/viewjob?jk=9155af1832962cef,Public Sector Account Executive - AWS Ko...,Amazon Web Services Korea LLC 서울,,prospects in order to build long- term business opportunity. You’ll also work... Develop long- term strategic partnerships...
https://kr.indeed.com/viewjob?jk=d6f1c92fd2313549,INTERN - LEGAL AFFAIRS [Temporary],United Nations 인천,,commission of any... acts. The term “sexual exploitation” means any actual... conditions. The term “sexual harassment...
https://kr.indeed.com/viewjob?jk=813763a0e3a4c87b,Regional Product Support Engineer,ASM 대한민국,,internal and external stakeholders. Understand and build long- term innovative global technology systems that enable enhanced...
https://kr.indeed.com/viewjob?jk=d7eabe1797e410b0,Medical Support Assistant (OA),US Department of the Army 4.3 대한민국,,apply... temporary/ term position... management Certain current or former term or temporary federal employees of a land...
https://kr.indeed.com/viewjob?jk=3216f996524a7cd5,[Medical Devices] Associate CEM Manager,Johnson & Johnson Family of Companies 4.2 서울,,3 roles in terms of long- term customer strategy development and short- term deliverable execution. [Responsibilities] 1...
https://kr.indeed.com/viewjob?jk=6589d5246d736c1b,INTERN - PROGRAMME MANAGEMENT [Temporary...,United Nations 인천,,commission of any... acts. The term “sexual exploitation” means any actual... conditions. The term “sexual harassment...
https://kr.indeed.com/viewjob?jk=2fd2388d31066170,Public Affairs Specialist,US Department of the Army 4.3 대한민국,,Land & base management Certain current or former term or temporary federal employees of a land or base management agency...
https://kr.indeed.com/viewjob?jk=b1c6bb91e58f5595,Account Manager Automotive and Furniture,Lectra 서울,,"new prospects Develop and manage long term customer relationship and strengthen... business development, long and short term"
https://kr.indeed.com/viewjob?jk=163754754b74874d,ISV Success Manager,Amazon Web Services Korea LLC 서울,,"Sell... GTM activities and create/ maintain a long- term, scalable joint GTM model that drives partner and customer..."
https://kr.indeed.com/viewjob?jk=49c43db2b845f370,Teaching Business Communication Skills f...,Speaking Proficiency Enhancement Program 대한민국,,"2020 ~ February 2021 (at SPEP Apgujeong Center, Seoul) Short- term (4-month) contract available [Salary] Based on 160..."
https://kr.indeed.com/viewjob?jk=2438539e5adeb515,"Mgr, Sales - Body Contouring",Abbvie 서울,,team goals which will benefit Allergan... long term... includes quality participation during team meetings...
https://kr.indeed.com/viewjob?jk=c154b26996c9860f,Technical Team Lead - Korea,CPA Global Limited 서울,,record creating and establishing long- term relationships with clients. Ability... Conduct... long term success of our...
https://kr.indeed.com/viewjob?jk=3387d0ca70a32899,Sales Account Manager - Automotive,Qualcomm CDMA Technologies (Korea) YH 서울,,expectation and business volume. Provide the long- term/short- term forecast to prepare raw materials and production capacity...
https://kr.indeed.com/viewjob?jk=99f994b326c7a4ee,Director of Global Transactional Account...,Coupang 3.0 서울,,equity-based compensation and certain cash-based long- term incentives. Responsible for LLC consolidated equity balances...
https://kr.indeed.com/viewjob?jk=b37be9a2ddc990ca,Trade Marketing Representative,British American Tobacco 4.4 경기도,,management Grade: NM Job Type: Fixed Term Contractual Legal Entity: BAT Korea... Drive and manage a long term relationship...
